cGameData	0x17f243b
cCheatObject	0x2a37e35
cMissionFetch	0x2afd284
cMissionHappinessEvent	0x4f3bde9
cMissionMakeAlly	0x4f77499
cRaidPlunderEvent	0x397bff3
cRaidEvent	0x3960c0e
cMissionColonize	0x2ba2a0e
cMissionEradicate	0x2f99994
cMissionExplore	0x32a12f1
cMissionWar	0x330fc49
cMissionScan	0x347092d
cMissionTerraform	0x35988f4
cMissionTrade	0x2adedff
cMissionTradeRoute	0x447092d
cMissionMultiDelivery	0x35ed8f6
cMissionBiosphere	0x437444b
cGenericPressureEvent	0x317afcc
cMissionMultiStep	0x4222283
cMissionBalance	0x347092e
cMissionFindAliens	0x347092f
cMissionFlight101	0x4222284
cMissionUseTool	0x2adedee
cMissionStory201	0x4222285
cMissionChangeArchetype	0x4622285
cMissionTrackBadge	0x4633285
cMissionAdventure	0x46332a5
cPlayer	0x2c21781
cMilitaryAttackCityOrder	0x2e9ae6c
cCulturalConvertCityOrder	0x3df2cc5
cGameTerrainCursor	0x18c40bc
cBuildingCityHall	0x18ea1eb
cBuildingIndustry	0x18ea2cc
cBuildingHouse	0x18eb106
cBuildingEntertainment	0x1a56aba
cBuildingScenario	0x70703b3
cTurret	0x436f342
cCelestialBody	0x38cfb6b
cGameBundle	0x18c431c
cCulturalTarget	0x3d5c325
cCity	0x18c43e8
cGameBundleGroundContainer	0x1906183
cVehicle	0x18c6de8
cVehicleGroupOrder	0x2e98ab7
cCityWalls	0x18c7c97
cCityTerritory	0x244fb08
cPlaceholderColonyEditorCursorAttachment	0x2c5c93a
cPlanetaryArtifact	0x2dd8c42
cToolObject	0x4e3fab5
cCivilization	0x18c816a
cCreatureAnimal	0x18eb45e
cCreatureCitizen	0x18eb4b7
cObstacle	0x3ed8573
cGamePlant	0x18c84a9
cFruit	0x2c9cc91
cFruitGroup	0x2e96892
cNest	0x52aa6122
cHerd	0x1be418e
cEgg	0x2a034cd
cInteractiveOrnament	0x3a2511e
cGameplayMarker	0x36be27e
cOrnament	0x18c88e4
cAnimalTrap	0x61494be
cTotemPole	0x55cf865
cTribeFoodMat	0x629bafe
cRock	0x2a8fb3f
cCommodityNode	0x403df5c
cSimulatorWalkAround	0x2F404EA
cMovableDestructibleOrnament	0x283ddb1
cSolarHitSphere	0x32f9778
cHitSphere	0x2e72cae
cInterCityRoad	0x2b8a4e7
cTribe	0x18c6d19
cTribeTool	0x18c8f0c
cSpear	0x24270c9
cArtilleryProjectile	0x18c9380
cFlakProjectile	0x240e3bf
cDefaultToolProjectile	0x24270c5
cDeepSpaceProjectile	0x24270c7
cSpaceDefenseMissile	0x244d3c8
cDefaultBeamProjectile	0x24630d7
cDefaultAoEArea	0x4167186
cCulturalProjectile	0x4f76f0d
cResourceProjectile	0x5776a2c
cICBM	0x49cec61
cSoundLoopObject	0x18eb641
cRotationRing	0x2ee8ce8
cRotationBall	0x7292112
cMorphHandle	0x7a30a12
cTargetMorphHandle	0x76f6e64
cArrowMorphHandle	0x771ad6f
cSimpleRotationRing	0x7a81829
cSimpleRotationBall	0x7abdd91
cPlanet	0x3275728
cVisiblePlanet	0x44462a6
cStar	0x355c93a
cSolarSystem	0x38cf94c
cSimPlanetLowLOD	0x3572e72
cEmpire	0x18eb9d2
cSpaceInventory	0x21ffa3f
cPlayerInventory	0x2265fdc
cGameDataUFO	0x18ebadc
cTribeHut	0x1e4daae
cTribePlanner	0x3098af98
cCreatureSpeciesMission	0x1406a572
cCreatureTutorialMission	0x34066dba
cTribeToTribeMission	0x5436411a
cFindMission	0x14d9597f
cNanoDrone	0x6ef0f11
cPlaceableSound	0x74e0069
cPlaceableEffect	0x7b38ba7

layout_bin	0x050f4731
blend1	0xe5ce9447
pnd	0x477764f5
log	0x2081b4f5
bak	0x1e99b639
bin	0x2699c284
bfx	0x1999ae0b
cmp	0x04f684a4
js	0x67771f5c
ini	0x1f886ead
png.png	0xb275d7e9
bnk	0x0a4d8d09
json	0x0a98eaf0
er2	0x08068aec
eapdPixie	0x0330a65e
cilia	0x83324b49
flagella	0x77fbb925
chemical	0x0dae69d1
filter	0x77b380c3
jaw	0x2e8647bd
poker	0x6ed040f4
electric	0xc1b86f04
spike	0x002ae8e9
jet	0x2a86410a
skinned	0x81b07013
xaxis	0x067489dc
yaxis	0x3bc16bcd
zaxis	0x01d369ee
flag	0xaeb95d5b
gear	0x45e82e50
light	0x735cf023
roof	0x7bd05f63
center	0x76822486
sign	0x26fea3be
wall	0x7db16db9
windmill	0x22cac325
rounddormer	0x28016132
roundskylight	0xa28487b6
squareskylight	0x55accff5
ball	0x69f9e3f6
stalk	0x4a66de36
omnivore	0x5cd23f68
carnivore	0xa28a67e8
herbivore	0x2dfb4f9f
air	0x3e9c273b
land	0x28346586
space	0xf83e63C9
water	0x9e3c3dfa
rear	0x99c183c7
side	0x29fea8ec
wheel	0xac6ea6b2
fixed	0x299bc2f9
flapping	0x54d42f94

powers	0x754be343

AccessoryCivCreatures	0x07720fe1
AccessorySpaceCreatures	0x5d0943a9
AccessoryTribeCreatures	0x8d6d40df
Buildings	0x484ff0b8
CellGame	0xa426730b
CityHall	0x115fa309
CivGame	0xbeb528cb
CLG_StarterCells	0xd2e52e5a
ColonyAir	0xf6ef5a49
ColonyLand	0x95693a90
ColonySea	0xd6cc95f8
CreatureAnimal	0x18ce4c0e
CreatureCiv	0xca5828cc
CreatureGame	0xad56080c
Creatures	0xd49de19d
CreatureSpace	0xd74e4828
CreatureTribe	0x2e9772da
CRG_StarterCreatures	0x67d5daf9
